student_staff_ratio,num_students,total_score,income
22.2,30025,50,69.8
32.3,120986,50,32.8
12.8,38191,50,85.2
18.7,10977,50,93.1
20.3,24365,50,99.4
22.3,15805,50,36.8
17.8,10791,50,34.7
16.5,12187,50,26.6
17.3,10798,50,30.2
30.2,18882,50,34.3
19.4,19665,50,27.1
43.7,40325,50,31.2
18.7,15141,50,28.1
25.9,20951,50,64.8
27.8,28576,50,40.7
18.1,13908,50,29.9
25.3,19693,50,27.9
18,47247,50,35.3
18.8,32720,50,33.7
15.9,7828,50,26.6
16.6,12063,50,46.9
9.5,10045,50,55.1
23.8,18340,50,42.1
15.4,58413,50,32.1
17,10159,50,24.5
14.1,49292,50,50
52,26419,50,35.2
17.1,9020,50,66.2
18.3,24550,50,34.3
15.9,47508,50,84.4
17.6,22386,50,47.3
17.1,19198,50,30.8
17.1,30333,50,31.3
30.4,32713,50,27.9
22.6,15655,50,36.2
20.4,28534,50,39.1
10.8,31658,50,97.2
17.8,8773,50,41.1
8.2,14686,50,39.4
15.1,21379,50,36
8.4,15885,50,33.5
29,22037,50,28.9
62.7,22401,50,38.9
19.8,18513,50,26.9
15.9,13951,50,39.4
7.5,27402,50,29
16.8,19101,50,50
9.8,10915,50,78.6
20.9,8240,50,68
26.8,14067,50,32.7
28,7653,50,27.1
26.2,10646,50,37.5
17.9,18867,50,38.3
11.7,22893,50,44.6
19.6,27709,50,67.6
13.6,33172,50,36.6
5.2,20836,50,26
17.1,12801,50,28.8
36.5,20314,50,40.3
14.4,5865,50,41.5
65.1,51560,50,30.6
19,22795,50,29.4
21.5,11641,50,25.5
14.4,17638,50,26.5
23.4,23026,50,24.2
58.4,19959,50,73.1
26.2,18971,50,87.7
20.2,15705,50,33.1
13,10269,50,26.3
14.6,12326,50,32.3
11.8,31046,50,42.9
16.9,52316,50,27.3
20.6,8663,50,29.2
6.9,2243,95.5,95.6
7.8,15596,93.7,62.4
11.6,19919,93.7,79.8
9,11074,93.1,92.9
8.4,7929,92.7,79.5
11.8,18812,92.6,59.1
11.7,15060,90.6,87.5
16.4,36186,90.5,65.4
6.9,14221,90.4,50
4.4,11751,89.2,38.2
14.7,18178,87.8,50
10.3,38206,87.7,50
6.5,20376,86.6,43.7
3.6,15128,85.6,100
10.7,26607,85.5,45.1
10.2,21424,83.3,39.5
13.8,18334,83.1,64.4
9,41786,82.6,53.9
13.1,11885,81.5,55.9
4.8,15172,81.2,100
11.8,44020,79.9,41.3
20.1,19967,78.8,74.9
17.4,49427,78.8,57.9
23.7,40128,77.9,67.6
15.5,31592,77.5,77.4
17.6,50152,77.3,42.4
10.8,39655,76.9,54.8
14.1,25774,76.1,43.8
18.7,42727,75.8,50
13.7,31326,75.7,40.3
27.3,22020,75.6,100
17.6,19835,75.6,62.5
19.2,14604,75.4,39.6
6.5,27233,75.2,43.9
10.5,9666,73,49.8
6.8,42056,72.8,29.5
11.5,7774,72.4,71.4
7.3,26518,72.4,40
13.9,35364,71.8,52.5
18,46825,70.5,50
15.5,35691,70.4,42
15.3,34938,70.1,43.2
10.1,3055,69.4,100
13.7,39763,67.1,99.2
13.4,51462,67,49.5
8.6,24789,66.8,30.6
12.9,36534,66.3,33.5
11.4,21394,66.2,42.4
41.9,42503,66.1,99.7
7.9,2400,65.9,47.2
12.4,44501,65.8,59.7
20.2,41868,65.7,69.2
4.8,2429,65.7,75.8
17.1,21222,65.1,46.1
32.7,34718,64.4,64
15.4,30779,64.1,82.6
10,9027,64,100
18.1,39256,63.8,50
25.6,25581,63.2,34.4
17,9248,63.2,100
18.9,20580,62.9,62
13,56959,62.9,52.8
14,17906,62.5,38.7
9,6333,62,36.5
5.8,26485,61.7,39.3
19.4,15920,61.6,99.9
24.5,28881,61.4,40.7
4.5,12338,61.3,38.3
15.7,15489,60.7,34.3
8.7,27862,60.5,28.6
14.4,24570,60.1,49
20.3,38264,59.8,95
25.9,38309,59.6,50.5
16.2,25028,59.4,99.5
10,10410,59.1,39.4
19.3,23823,59,98
25.6,24556,58.8,85.2
6.5,26583,58.8,38.3
16.1,29325,58.7,50
34.1,32166,58.4,95.9
15.7,44750,58.3,32.6
13.8,11829,58.3,29.8
16.1,26614,58.2,42.1
8.4,31331,57.9,32.1
12.7,36429,57.7,83.9
40.5,50882,57.5,70
17.3,37032,57.5,35.8
4.5,9390,57.2,39.6
6.4,9259,56.9,50
31.5,35565,56.8,49.7
18.2,25266,56.6,44.1
3.6,12161,56.6,53
12.7,8338,56.5,38.9
15.1,23505,56.4,31.1
18,15521,56.2,32.8
15.5,23311,56.2,41.5
17.4,12001,56.2,32.1
12.1,20040,55.8,87.3
16,8176,55.6,100
18.9,15626,55.5,99.1
13.6,23895,55.3,69.7
23.7,31715,55.2,32
10.2,23845,55,48.6
15.9,8747,54.9,31.9
15,30144,54.8,38.3
21.6,36299,54.7,50.6
22.7,17404,54.5,50
18.7,50095,54.5,50
10.2,17916,54.4,44.5
6.6,6178,54.4,38.6
16.6,18529,54.4,35.3
13,17713,54,41.7
39.3,33062,53.7,32.8
7.3,9586,53.7,65.3
4.1,27545,53.6,39.7
13.5,20925,53.6,41.8
15,15668,53.5,32.4
13.6,62468,53.2,50
11.9,31891,53.2,44
16.9,25674,53.2,63.3
10.7,17612,53.1,33.6
5,17200,53.1,80.7
16,22616,53,44.1
14.6,12062,52.9,100
16.3,23280,52.9,58.5
17.3,12551,52.8,64.2
14.7,27703,52.8,41.3
31.2,26467,52.3,81.1
14.9,11512,52.1,31.8
14,14260,52.1,42.7
7.8,23144,52,69.6
29.9,83236,51.9,31.8
5,9990,51.7,98.7
17.4,13216,51.6,50
24.6,25294,51.5,82.9
22.5,14708,51.5,42
18.8,17755,51.3,37.1
27.6,37917,51.1,63.1
22,20626,51.1,33.5
21.4,50657,50.9,45.5
5.5,6753,50.9,50
16.4,25295,50.5,38.4
14.6,81402,50.5,40
18.9,29787,50.3,76.6
10.9,21908,50.2,31.6
20.5,34651,50.2,29.1
42,28856,50,34.5
15.9,19262,49.7,97.7
14.8,27756,49.6,50
22.8,16306,49.5,40
12,20541,49.4,30
11.6,27526,49.3,50
8,2218,49.2,28.9
70.4,32474,49,50
13.6,18815,49,46.4
26.3,36733,49,43
8.5,15408,48.9,50
15,6671,48.9,66.8
15.8,12938,48.8,48.9
30.1,20771,48.8,63.2
14.7,14992,48.8,30.7
14.8,12050,48.8,35.2
15.2,20174,48.6,37.4
7.1,10015,48.5,53.6
18.2,5287,48,66
9.2,24313,48,40.4
11.8,7867,48,29.9
12,6631,47.9,79.7
20.7,20851,47.3,60
4.6,7326,47.3,48
30.3,12346,47.1,100
17.4,29991,46.9,44
19.4,13855,46.9,40.8
5.7,15286,46.9,50
13.4,14541,46.7,34.9
21.5,17581,46.7,30.6
19,25668,46.6,42.4
9.3,31861,46.4,41.4
17.2,9454,46.2,29.4
12.3,30538,50,37.3
12.6,5495,50,37.4
13.1,23347,50,39.8
12.2,32175,50,46.3
32.6,35609,50,50
7.7,30822,50,70.1
22.2,25779,50,50.6
7.9,15529,50,35.5
15.1,18539,50,33.8
18.3,10901,50,34.2
22.1,20488,50,77.3
13.4,2958,50,44.1
20.3,24365,50,98.7
22.4,7576,50,54.8
12.2,47491,50,30.9
15.3,11628,50,49.9
53.9,36146,50,45.2
19.9,33119,50,31.3
16.9,18209,50,38.2
59.1,10930,50,51.9
17.8,46208,50,34.8
38.9,28327,50,31.6
29.8,25036,50,50
11.6,8605,50,78.5
13.7,4408,50,28.7
17.5,9928,50,72.4
14.6,4488,50,37.9
5.6,1283,50,99.4
7.3,7801,50,59.6
13.5,10221,50,44
28.3,26640,50,41.6
53.6,20300,50,84.4
8.4,11381,50,50
11.1,11623,50,41.1
16.5,28341,50,42.8
15.7,36108,50,35.8
14.1,29885,50,31.1
20.3,18600,50,37.2
18.6,23321,50,98.4
24.2,30726,50,39.4
20.7,27387,50,44.6
38.4,26576,50,30.4
26.1,23819,50,54.9
24.2,16099,50,73.7
14.4,15064,50,65
25.9,22064,50,42.2
14.9,8327,50,52.7
20,27930,50,37.2
13.3,29743,50,47.7
16.6,12646,50,99
13.9,17381,50,45.2
35.8,33391,50,58.9
15.3,27095,50,44.9
23,21849,50,96.6
9.9,9303,50,31.1
11.9,16667,50,29.7
13,25742,50,32.6
19.8,12695,50,31
25.9,13960,50,74.4
23.8,24444,50,35.6
24.3,58618,50,38.2
72.5,33370,50,39
46.1,39838,50,38.2
20.2,24418,50,50
25.8,18135,50,33.6
21.1,17142,50,43
52,26419,50,65.5
19.2,9252,50,34.9
19.5,9567,50,31.6
35.5,12520,50,35.4
67.8,21428,50,35.1
25,11506,50,38.4
19,26769,50,50
10.8,20713,50,34.7
16,34550,50,98
18.4,36731,50,32.8
16.8,22578,50,31
17.9,17940,50,48.1
46.3,38675,50,54.3
12.8,38191,50,76.1
3.3,2872,50,45.4
37.4,35487,50,36.1
18.8,12830,50,42.8
22.9,85532,50,35.1
15.2,12470,50,34.1
21.9,23508,50,72.9
16.3,29336,50,30.8
12.7,22210,50,75.5
43.2,16841,50,45.3
66,67552,50,40.4
18.6,30850,50,27.9
13,28296,50,34.7
17.6,12613,50,33.4
13,51438,50,28.1
16.1,35308,50,50
8.3,7086,50,50
8.2,18162,50,41.3
11,10441,50,29.6
29.1,19646,50,50
8.4,35889,50,40.2
6.7,18925,50,73.1
7.7,17866,50,38
2.9,7426,50,33.2
32.8,16606,50,44.2
14.4,21234,50,99.9
19.6,9336,50,43.9
26.8,14067,50,41.1
13.6,30533,50,35.7
22.2,30025,50,68.1
32.3,120986,50,36
18.7,10977,50,93
18.5,15387,50,50
16.6,51351,50,43.5
12.2,10398,50,29.1
22.3,15805,50,38.8
16.5,12187,50,49.8
26.9,14650,50,34.1
17.3,10798,50,36.7
46.9,10416,50,50
26.8,20584,50,29.5
28.3,21643,50,48.1
27.8,28576,50,43.5
18.1,13908,50,32.6
18.3,62577,50,31.7
40.6,22958,50,60.6
18,47247,50,39.4
19.1,20161,50,29.2
26.2,18971,50,83.7
9.5,10045,50,49.3
12.6,15930,50,33
17,10159,50,28.2
25.4,16489,50,54
17.1,9020,50,37.5
18.3,24550,50,55.8
10.7,23065,50,50
39.4,48007,50,41.9
15.9,47508,50,89
15.9,17422,50,39
23.3,15799,50,33.4
25.4,5570,50,32.5
30.4,32713,50,30.1
22.6,15655,50,39.1
17,26622,50,28.2
17.8,8773,50,48.4
18.7,8061,50,70.4
11.5,42835,50,29.5
15.7,8397,50,31.7
11.9,33751,50,43.1
23.7,17791,50,60.2
11.3,6300,50,40.1
62.7,22401,50,40.3
15.9,13951,50,40.7
16.8,19101,50,66
11.6,137378,50,36
9.8,10915,50,84.8
17.4,7446,50,46.8
28,7653,50,30.8
15.4,9565,50,29.4
13.6,33172,50,39.3
13.3,33268,50,50
17.8,10791,50,39.9
46.6,36051,50,41.1
30.2,18882,50,37.7
19.4,19665,50,28.9
43.7,40325,50,35.7
15.2,9703,50,71.2
24.9,30572,50,28.5
25.9,20951,50,55.9
18.8,19090,50,32.2
25.3,19693,50,32.3
18.8,32720,50,36.2
58.4,19959,50,51.3
15.9,7828,50,29.8
20.2,15705,50,35.8
16.6,12063,50,45.4
13,10269,50,30.1
23.8,18340,50,44.8
44.1,24519,50,33.9
26.9,27520,50,32.2
16.9,15773,50,28.4
15.4,58413,50,32.5
19,22793,50,36.6
14.1,49292,50,27.9
16.9,52316,50,30.8
6.9,2243,94.9,91.2
11.6,19919,93.9,90.3
7.8,15596,93.8,61.3
9,11074,93,94.3
8.4,7929,92.7,80.5
11.8,18812,92.3,52.8
16.4,36186,89.8,59.5
6.9,14221,87.8,50
11.7,15060,87.5,72.3
4.4,11751,87.4,38.7
10.3,38206,86.3,50
14.7,18178,84.5,78.8
3.6,15128,83.7,100
6.5,20376,81,45.2
4.8,15172,79.3,100
9,41786,79.2,53.5
10.2,21424,79.1,35.8
10.7,26607,77.6,46.8
13.8,18334,77.1,61.9
13.1,11885,76,52.5
11.8,44020,73.4,43.1
15.5,31592,72.4,64.3
17.4,49427,72.2,59.6
20.1,19967,71.6,71.3
18.7,42727,71.4,50
10.8,39655,71.1,51.2
17.6,50152,70.8,43.1
27.3,22020,68.4,86.7
23.7,40128,68.2,65.1
13.7,31326,68.1,40.8
11.5,7774,67.8,68.7
10.5,9666,67.7,49.2
11.4,21394,67.6,38.3
14.1,25774,67.5,42.5
6.8,42056,67.4,29.9
6.5,27233,67.4,48.4
17.6,19835,65.3,56.9
18,46825,64.9,50
7.3,26518,64.5,39.1
19.2,14604,64.4,44.8
12.4,44501,64.2,60
8.6,24789,63.5,31.1
13.7,39763,63.5,99.9
13.9,35364,63.2,51.3
15.5,35691,63.1,41.4
10,9027,62.9,100
15.3,34938,62.3,40.8
13.4,51462,62,47.7
10.1,3055,61.7,100
41.9,42503,61.3,99.9
18.1,39256,60.7,50
32.7,34718,59.9,61
25.6,25581,59.9,41.2
9,6333,59.8,35.2
7.9,2400,59.8,44.7
17.1,21222,59.4,49.8
24.5,28881,59.2,42.1
19.4,15920,59.1,100
12.9,36534,59,34.6
4.8,2429,59,74
20.2,41868,58.8,66.3
18.9,20580,58.1,56
17.3,12551,57.7,98.5
15.4,30779,57.7,85.6
16.2,25028,57.2,100
17,9248,56.8,100
5.8,26485,56.7,39.4
14,17906,56.3,38
15.7,15489,56.1,35.3
4.5,12338,56.1,43.2
10,10410,56.1,39.1
15.7,44750,55.9,32
14.4,24570,55.9,50.2
34.1,32166,55.5,94.6
39.3,33062,55.3,34.4
31.5,35565,55.2,50.1
6.4,9259,55,50
3.6,12161,55,51
13.8,11829,54.7,31.2
40.5,50882,54.6,67
19.3,23823,54.5,86.9
16.1,26614,54.1,44.9
4.5,9390,53.6,41.4
8.7,27862,53.5,34.4
16.1,29325,53.4,50
18.9,15626,52.9,98.2
25.6,24556,52.9,87.6
15.1,23505,52.6,30.7
15.9,8747,52.5,33.1
17.3,37032,52.4,35.4
23.7,31715,52.4,31.5
12.7,36429,52.4,82.3
16,8176,52.3,100
20.3,38264,52.3,90.9
8.4,31331,52.2,32.1
10.2,17916,52,46.4
21.6,36299,52,46.8
18.2,25266,51.9,40.5
15.5,23311,51.8,42.7
10.2,23845,51.8,49.4
14,14260,51.7,37.7
25.9,38309,51.7,52.6
14.6,12062,51.6,100
5,9990,51.6,98.7
16,22616,51.6,40.8
12.7,8338,51.6,40.3
17.4,12001,51.2,31.3
6.5,26583,51.2,39.2
15,15668,51,38.3
7.3,9586,50.8,67.5
6.6,6178,50.5,42.3
12.1,20040,50.5,85.6
18.7,50095,50.4,50
27.6,37917,50.3,73.9
18,15521,50.3,30.8
13,17713,50.2,42.5
13.6,62468,50.1,50
13,56959,50.1,52
17.4,13216,50,49.4
22.7,17404,49.9,50
14.9,11512,49.7,32.2
13.6,23895,49.6,67.5
18.2,5287,49.5,74.8
14.7,27703,49.5,42.1
16.6,18529,49.4,34.6
11.9,31891,49.2,47.1
16.9,25674,49.1,61.3
7.8,23144,49,71.2
16.3,23280,49,59.8
29.9,83236,48.9,31.4
13.5,20925,48.9,38.6
22,20626,48.7,37.6
18.8,17755,48.7,37.2
5,17200,48.5,85.9
4.1,27545,48.5,43
31.2,26467,48.4,86.6
16.4,25295,48.3,36.7
24.6,25294,48,83
